l, lprime, t, j, h, Mvalue, per-item weight, per-item importance
Phase_I_313_Staging_Location, Phase_II_PAA2, 24, ALPHA_BTRY_313, JLTV_M1279A1, 46, 210, 0
Phase_I_313_Staging_Location, Phase_II_PAA2, 24, ROMEO_BTRY_313, JLTV_M1279A1, 2, 210, 0
Phase_I_128_Staging_Location, Sultan_Iskandar_Muda_Airport, 24, COMBAT_ENGR_CO_A_REIN_5TH_CEB, JLTV_M1279A1, 116, 210, 0
Phase_I_128_Staging_Location, Sultan_Iskandar_Muda_Airport, 24, COMBAT_ENGR_CO_A_REIN_5TH_CEB, AMK25, 16, 210, 0
Phase_I_313_Staging_Location, Phase_II_PAA2, 25, ALPHA_BTRY_313, JLTV_M1279A1, 92, 210, 0
Phase_II_D2_PAA4, Phase_II_PAA2, 25, ROMEO_BTRY_313, JLTV_M1279A1, 2, 210, 0
Phase_I_328_Staging_Location, Phase_II_Farp_2A, 25, CRTG-_81MM_SMK_RP_M819_WFZ_MTSQ_M772, AMK25, 3, 63, 0
Phase_I_328_Staging_Location, Phase_II_Farp_2A, 25, G881, AMK25, 12, 51, 0
Phase_I_328_Staging_Location, Phase_II_Farp_2A, 25, G950, AMK25, 2, 34, 0
Phase_I_328_Staging_Location, Phase_II_Farp_2A, 25, G924, AMK25, 1, 50, 0
Phase_I_328_Staging_Location, Phase_II_Farp_2A, 25, G940, AMK25, 4, 34, 0
Phase_I_328_Staging_Location, Phase_II_Farp_2A, 25, G900, AMK25, 2, 47, 0
Phase_I_328_Staging_Location, Phase_II_Farp_2A, 25, TRUCK_CO_A, AMK25, 96, 210, 0
Phase_I_328_Staging_Location, Phase_II_Farp_2A, 25, L311, JLTV_M1279A1, 0.333333, 1.64, 0
Phase_I_328_Staging_Location, Phase_II_Farp_2A, 25, TRUCK_CO_A, JLTV_M1279A1, 40, 210, 0
Phase_I_328_Staging_Location, Phase_II_Farp_2A, 25, CA30, JLTV_M1279A1, 2.66667, 66, 0
Phase_I_328_Staging_Location, Phase_II_Farp_2A, 25, CRTG-_556MM_TRCR_M856, JLTV_M1279A1, 1, 30, 0
Phase_I_328_Staging_Location, Phase_II_Farp_2A, 25, J007, JLTV_M1279A1, 0.666667, 41, 0
Phase_I_328_Staging_Location, Phase_II_Farp_2A, 25, AB57, JLTV_M1279A1, 1, 35.08, 0
Phase_I_313_Staging_Location, Phase_II_D-Day_128_Support_Area, 25, CO_A_5TH_LAR_BN, JLTV_M1279A1, 12, 210, 0
Phase_I_313_Staging_Location, Phase_II_D-Day_128_Support_Area, 25, C385, JLTV_M1279A1, 1, 1071, 0
Phase_I_128_Staging_Location, Phase_II_D-Day_128_Support_Area, 25, J007, JLTV_M1279A1, 2.66667, 41, 0
Phase_I_128_Staging_Location, Phase_II_D-Day_128_Support_Area, 25, WH51, JLTV_M1279A1, 1, 66.6, 0
Phase_I_128_Staging_Location, Phase_II_D-Day_128_Support_Area, 25, WPNS_CO_128, JLTV_M1279A1, 146, 210, 0
Phase_I_128_Staging_Location, Phase_II_D-Day_128_Support_Area, 25, G950, JLTV_M1279A1, 3, 34, 0
Phase_I_128_Staging_Location, Phase_II_D-Day_128_Support_Area, 25, WH54, JLTV_M1279A1, 1, 61.56, 0
Phase_I_128_Staging_Location, Phase_II_D-Day_128_Support_Area, 25, G900, JLTV_M1279A1, 7, 47, 0
Phase_I_128_Staging_Location, Phase_II_D-Day_128_Support_Area, 25, C385, JLTV_M1279A1, 2.33333, 1071, 0
Phase_I_128_Staging_Location, Phase_II_D-Day_128_Support_Area, 25, RFL_CO_B_128, JLTV_M1279A1, 70, 210, 0
Phase_I_128_Staging_Location, Phase_II_D-Day_128_Support_Area, 25, Cartridge-_Caliber_50_4_SLAP_M9031_SLAP-T_M962_Linked, JLTV_M1279A1, 1, 35, 0
Phase_I_128_Staging_Location, Phase_II_D-Day_128_Support_Area, 25, RFL_CO_A_128, JLTV_M1279A1, 182, 210, 0
Phase_I_128_Staging_Location, Phase_II_D-Day_128_Support_Area, 25, AA53, JLTV_M1279A1, 2, 33.5, 0
Phase_I_128_Staging_Location, Phase_II_D-Day_128_Support_Area, 25, G881, JLTV_M1279A1, 31, 51, 0
Phase_I_128_Staging_Location, Phase_II_D-Day_128_Support_Area, 25, RFL_CO_C_128, JLTV_M1279A1, 70, 210, 0
Phase_I_128_Staging_Location, Phase_II_D-Day_128_Support_Area, 25, AB57, JLTV_M1279A1, 6, 35.08, 0
Phase_I_128_Staging_Location, Phase_II_D-Day_128_Support_Area, 25, CA30, JLTV_M1279A1, 3, 66, 0
Phase_I_128_Staging_Location, Phase_II_D-Day_128_Support_Area, 25, BA14, JLTV_M1279A1, 1, 44, 0
Phase_I_128_Staging_Location, Phase_II_D-Day_128_Support_Area, 25, CRTG-_CAL_50_API_M8API-T_M20_LNKD_AC, JLTV_M1279A1, 21, 35, 0
Phase_I__II_Recon_Deep_Staging_Location, Sultan_Iskandar_Muda_Airport, 25, L495, CH-53K_King_Stallion, 2, 1.35, 0
Phase_I__II_Recon_Deep_Staging_Location, Sultan_Iskandar_Muda_Airport, 25, RECON_CO_C_5TH_RECON_BN, CH-53K_King_Stallion, 76, 210, 0
Phase_I__II_Recon_Deep_Staging_Location, Sultan_Iskandar_Muda_Airport, 25, G940, CH-53K_King_Stallion, 1, 34, 0
Phase_I__II_Recon_Deep_Staging_Location, Sultan_Iskandar_Muda_Airport, 25, L306, MV-22B_None, 1, 1.38, 0
Phase_I__II_Recon_Deep_Staging_Location, Sultan_Iskandar_Muda_Airport, 25, B542, MV-22B_None, 1, 42, 0
Phase_II_D-Day_128_Support_Area, Phase_II_D2_PAA4, 25, C385, JLTV_M1279A1, 3.66667, 1071, 0
Phase_I_328_Staging_Location, Phase_II_Farp_2A, 26, CA30, AMK25, 1.33333, 66, 0
