j,t,l, Inv, Inv_LB, shortage
D0003, 14, Nome_Port, 0, 0, 0
D0003, 14, Teller_Dest, 0, 2, 2
D0003, 14, Camp_Pendleton_Airport, 0, 0, 0
D0003, 14, Point_Loma, 0, 0, 0
D0003, 15, Juneau_Airport, 1, 3, 2
D0003, 15, Mosquito_Lake_Sup, 7, 0, 0
D0003, 15, Tanani_Sup, 0, 0, 0
D0003, 15, Mud_Bay_Sup, 0, 0, 0
D0003, 15, Port_Chilkoot, 0, 0, 0
D0003, 15, Elmendorf_AFB, 0, 0, 0
D0003, 15, Anchorage_Port, 0, 0, 0
D0003, 15, Seward_MPF_Port, 0, 0, 0
D0003, 15, Fairbanks_Airport, 0, 2, 2
D0003, 15, Nome_Airport, 0, 0, 0
D0003, 15, Nome_Port, 0, 0, 0
D0003, 15, Teller_Dest, 0, 2, 2
D0003, 15, Camp_Pendleton_Airport, 0, 0, 0
D0003, 15, Point_Loma, 0, 0, 0
D0003, 16, Juneau_Airport, 1, 3, 2
D0003, 16, Mosquito_Lake_Sup, 7, 0, 0
D0003, 16, Tanani_Sup, 0, 0, 0
D0003, 16, Mud_Bay_Sup, 0, 0, 0
D0003, 16, Port_Chilkoot, 0, 0, 0
D0003, 16, Elmendorf_AFB, 0, 0, 0
D0003, 16, Anchorage_Port, 0, 0, 0
D0003, 16, Seward_MPF_Port, 0, 0, 0
D0003, 16, Fairbanks_Airport, 0, 2, 2
D0003, 16, Nome_Airport, 0, 0, 0
D0003, 16, Nome_Port, 0, 0, 0
D0003, 16, Teller_Dest, 0, 2, 2
D0003, 16, Camp_Pendleton_Airport, 0, 0, 0
D0003, 16, Point_Loma, 0, 0, 0
D0003, 17, Juneau_Airport, 1, 3, 2
D0003, 17, Mosquito_Lake_Sup, 7, 0, 0
D0003, 17, Tanani_Sup, 0, 0, 0
D0003, 17, Mud_Bay_Sup, 0, 0, 0
D0003, 17, Port_Chilkoot, 0, 0, 0
D0003, 17, Elmendorf_AFB, 0, 0, 0
D0003, 17, Anchorage_Port, 0, 0, 0
D0003, 17, Seward_MPF_Port, 0, 0, 0
D0003, 17, Fairbanks_Airport, 0, 2, 2
D0003, 17, Nome_Airport, 0, 0, 0
D0003, 17, Nome_Port, 0, 0, 0
D0003, 17, Teller_Dest, 0, 2, 2
D0003, 17, Camp_Pendleton_Airport, 0, 0, 0
D0003, 17, Point_Loma, 0, 0, 0
D0003, 18, Juneau_Airport, 1, 3, 2
D0003, 18, Mosquito_Lake_Sup, 7, 0, 0
D0003, 18, Tanani_Sup, 0, 0, 0
D0003, 18, Mud_Bay_Sup, 0, 0, 0
D0003, 18, Port_Chilkoot, 0, 0, 0
D0003, 18, Elmendorf_AFB, 0, 0, 0
D0003, 18, Anchorage_Port, 0, 0, 0
D0003, 18, Seward_MPF_Port, 0, 0, 0
D0003, 18, Fairbanks_Airport, 0, 2, 2
D0003, 18, Nome_Airport, 0, 0, 0
D0003, 18, Nome_Port, 0, 0, 0
D0003, 18, Teller_Dest, 0, 2, 2
D0003, 18, Camp_Pendleton_Airport, 0, 0, 0
D0003, 18, Point_Loma, 0, 0, 0
D0003, 19, Juneau_Airport, 1, 3, 2
D0003, 19, Mosquito_Lake_Sup, 7, 0, 0
D0003, 19, Tanani_Sup, 0, 0, 0
D0003, 19, Mud_Bay_Sup, 0, 0, 0
D0003, 19, Port_Chilkoot, 0, 0, 0
D0003, 19, Elmendorf_AFB, 0, 0, 0
D0003, 19, Anchorage_Port, 0, 0, 0
D0003, 19, Seward_MPF_Port, 0, 0, 0
D0003, 19, Fairbanks_Airport, 0, 2, 2
D0003, 19, Nome_Airport, 0, 0, 0
D0003, 19, Nome_Port, 0, 0, 0
D0003, 19, Teller_Dest, 0, 2, 2
D0003, 19, Camp_Pendleton_Airport, 0, 0, 0
D0003, 19, Point_Loma, 0, 0, 0
D0003, 20, Juneau_Airport, 1, 3, 2
D0003, 20, Mosquito_Lake_Sup, 7, 0, 0
D0003, 20, Tanani_Sup, 0, 0, 0
D0003, 20, Mud_Bay_Sup, 0, 0, 0
D0003, 20, Port_Chilkoot, 0, 0, 0
D0003, 20, Elmendorf_AFB, 0, 0, 0
D0003, 20, Anchorage_Port, 0, 0, 0
D0003, 20, Seward_MPF_Port, 0, 0, 0
D0003, 20, Fairbanks_Airport, 0, 2, 2
D0003, 20, Nome_Airport, 0, 0, 0
D0003, 20, Nome_Port, 0, 0, 0
D0003, 20, Teller_Dest, 0, 2, 2
D0003, 20, Camp_Pendleton_Airport, 0, 0, 0
D0003, 20, Point_Loma, 0, 0, 0
D0003, 21, Juneau_Airport, 1, 3, 2
D0003, 21, Mosquito_Lake_Sup, 7, 0, 0
D0003, 21, Tanani_Sup, 0, 0, 0
D0003, 21, Mud_Bay_Sup, 0, 0, 0
D0003, 21, Port_Chilkoot, 0, 0, 0
D0003, 21, Elmendorf_AFB, 0, 0, 0
D0003, 21, Anchorage_Port, 0, 0, 0
D0003, 21, Seward_MPF_Port, 0, 0, 0
D0003, 21, Fairbanks_Airport, 0, 2, 2
D0003, 21, Nome_Airport, 0, 0, 0
D0003, 21, Nome_Port, 0, 0, 0
D0003, 21, Teller_Dest, 0, 2, 2
D0003, 21, Camp_Pendleton_Airport, 0, 0, 0
D0003, 21, Point_Loma, 0, 0, 0
D0003, 22, Juneau_Airport, 1, 3, 2
D0003, 22, Mosquito_Lake_Sup, 7, 0, 0
D0003, 22, Tanani_Sup, 0, 0, 0
D0003, 22, Mud_Bay_Sup, 0, 0, 0
D0003, 22, Port_Chilkoot, 0, 0, 0
D0003, 22, Elmendorf_AFB, 0, 0, 0
D0003, 22, Anchorage_Port, 0, 0, 0
D0003, 22, Seward_MPF_Port, 0, 0, 0
D0003, 22, Fairbanks_Airport, 0, 2, 2
D0003, 22, Nome_Airport, 0, 0, 0
D0003, 22, Nome_Port, 0, 0, 0
D0003, 22, Teller_Dest, 0, 2, 2
D0003, 22, Camp_Pendleton_Airport, 0, 0, 0
D0003, 22, Point_Loma, 0, 0, 0
D0003, 23, Juneau_Airport, 1, 3, 2
D0003, 23, Mosquito_Lake_Sup, 7, 0, 0
D0003, 23, Tanani_Sup, 0, 0, 0
D0003, 23, Mud_Bay_Sup, 0, 0, 0
D0003, 23, Port_Chilkoot, 0, 0, 0
D0003, 23, Elmendorf_AFB, 0, 0, 0
D0003, 23, Anchorage_Port, 0, 0, 0
D0003, 23, Seward_MPF_Port, 0, 0, 0
D0003, 23, Fairbanks_Airport, 0, 2, 2
D0003, 23, Nome_Airport, 0, 0, 0
D0003, 23, Nome_Port, 0, 0, 0
D0003, 23, Teller_Dest, 0, 2, 2
D0003, 23, Camp_Pendleton_Airport, 0, 0, 0
D0003, 23, Point_Loma, 0, 0, 0
D0003, 24, Juneau_Airport, 1, 3, 2
D0003, 24, Mosquito_Lake_Sup, 7, 0, 0
D0003, 24, Tanani_Sup, 0, 0, 0
D0003, 24, Mud_Bay_Sup, 0, 0, 0
D0003, 24, Port_Chilkoot, 0, 0, 0
D0003, 24, Elmendorf_AFB, 0, 0, 0
D0003, 24, Anchorage_Port, 0, 0, 0
D0003, 24, Seward_MPF_Port, 0, 0, 0
D0003, 24, Fairbanks_Airport, 0, 2, 2
D0003, 24, Nome_Airport, 0, 0, 0
D0003, 24, Nome_Port, 0, 0, 0
D0003, 24, Teller_Dest, 0, 2, 2
D0003, 24, Camp_Pendleton_Airport, 0, 0, 0
D0003, 24, Point_Loma, 0, 0, 0
D0003, 25, Juneau_Airport, 1, 3, 2
D0003, 25, Mosquito_Lake_Sup, 7, 0, 0
D0003, 25, Tanani_Sup, 0, 0, 0
D0003, 25, Mud_Bay_Sup, 0, 0, 0
D0003, 25, Port_Chilkoot, 0, 0, 0
D0003, 25, Elmendorf_AFB, 0, 0, 0
D0003, 25, Anchorage_Port, 0, 0, 0
D0003, 25, Seward_MPF_Port, 0, 0, 0
D0003, 25, Fairbanks_Airport, 0, 2, 2
D0003, 25, Nome_Airport, 0, 0, 0
D0003, 25, Nome_Port, 0, 0, 0
D0003, 25, Teller_Dest, 0, 2, 2
D0003, 25, Camp_Pendleton_Airport, 0, 0, 0
D0003, 25, Point_Loma, 0, 0, 0
D0003, 26, Juneau_Airport, 1, 3, 2
D0003, 26, Mosquito_Lake_Sup, 7, 0, 0
D0003, 26, Tanani_Sup, 0, 0, 0
D0003, 26, Mud_Bay_Sup, 0, 0, 0
D0003, 26, Port_Chilkoot, 0, 0, 0
D0003, 26, Elmendorf_AFB, 0, 0, 0
D0003, 26, Anchorage_Port, 0, 0, 0
D0003, 26, Seward_MPF_Port, 0, 0, 0
D0003, 26, Fairbanks_Airport, 0, 2, 2
D0003, 26, Nome_Airport, 0, 0, 0
D0003, 26, Nome_Port, 0, 0, 0
D0003, 26, Teller_Dest, 0, 2, 2
D0003, 26, Camp_Pendleton_Airport, 0, 0, 0
D0003, 26, Point_Loma, 0, 0, 0
D0003, 27, Juneau_Airport, 1, 3, 2
D0003, 27, Mosquito_Lake_Sup, 7, 0, 0
D0003, 27, Tanani_Sup, 0, 0, 0
D0003, 27, Mud_Bay_Sup, 0, 0, 0
D0003, 27, Port_Chilkoot, 0, 0, 0
D0003, 27, Elmendorf_AFB, 0, 0, 0
D0003, 27, Anchorage_Port, 0, 0, 0
D0003, 27, Seward_MPF_Port, 0, 0, 0
D0003, 27, Fairbanks_Airport, 0, 2, 2
D0003, 27, Nome_Airport, 0, 0, 0
D0003, 27, Nome_Port, 0, 0, 0
D0003, 27, Teller_Dest, 0, 2, 2
D0003, 27, Camp_Pendleton_Airport, 0, 0, 0
D0003, 27, Point_Loma, 0, 0, 0
D0003, 28, Juneau_Airport, 1, 3, 2
D0003, 28, Mosquito_Lake_Sup, 7, 0, 0
