h,l,lprime, t, Zvalue
Truck-5, Juneau_Airport, Port_Chilkoot, 30, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 31, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 32, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 33, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 34, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 35, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 36, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 37, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 38, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 39, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 40, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 41, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 42, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 43, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 44, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 45, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 46, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 47, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 48, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 49, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 50, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 51, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 52, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 53, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 54, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 55, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 56, 0
Truck-5, Juneau_Airport, Port_Chilkoot, 57, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 0, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 1, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 2, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 3, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 4, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 5, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 6, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 7, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 8, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 9, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 10, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 11, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 12, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 13, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 14, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 15, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 16, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 17, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 18, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 19, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 20, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 21, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 22, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 23, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 24, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 25, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 26, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 27, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 28, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 29, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 30, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 31, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 32, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 33, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 34, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 35, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 36, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 37, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 38, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 39, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 40, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 41, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 42, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 43, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 44, 0
Truck-5, Juneau_Airport, Elmendorf_AFB, 45, 0
