j,t,l, Inv, Inv_LB, shortage
A011, 9, Phase_II_D2_PAA4, 0, 0, 0
A011, 9, Phase_II_PAA2, 0, 0, 0
A011, 9, Sultan_Iskandar_Muda_Airport, 16.3684, 3, 0
A011, 9, Medan_Air_Base, 0, 0, 0
A011, 9, Phase_I_328_Staging_Location, 0, 0, 0
A011, 9, Phase_II_D3_PAA5, 0, 0, 0
A011, 9, Phase_II_D1_PAA_3, 0, 0, 0
A011, 9, Phase_I_128_Staging_Location, 0, 0, 0
A011, 9, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 9, Port_of_Belawan, 0, 0, 0
A011, 9, Banda_Aceh_Port, 31, 0, 0
A011, 10, Phase_I__II_Recon_Deep_Staging_Location, 0, 0, 0
A011, 10, Phase_II_Farp_2A, 0, 0, 0
A011, 10, Phase_I_313_Staging_Location, 0, 0, 0
A011, 10, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 10, Phase_II_D2_PAA4, 0, 0, 0
A011, 10, Phase_II_PAA2, 0, 0, 0
A011, 10, Sultan_Iskandar_Muda_Airport, 15.7895, 3, 0
A011, 10, Medan_Air_Base, 0, 0, 0
A011, 10, Phase_I_328_Staging_Location, 0, 0, 0
A011, 10, Phase_II_D3_PAA5, 0, 0, 0
A011, 10, Phase_II_D1_PAA_3, 0, 0, 0
A011, 10, Phase_I_128_Staging_Location, 0, 0, 0
A011, 10, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 10, Port_of_Belawan, 0, 0, 0
A011, 10, Banda_Aceh_Port, 31, 0, 0
A011, 11, Phase_I__II_Recon_Deep_Staging_Location, 0, 0, 0
A011, 11, Phase_II_Farp_2A, 0, 0, 0
A011, 11, Phase_I_313_Staging_Location, 0, 0, 0
A011, 11, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 11, Phase_II_D2_PAA4, 0, 0, 0
A011, 11, Phase_II_PAA2, 0, 0, 0
A011, 11, Sultan_Iskandar_Muda_Airport, 15.2105, 3, 0
A011, 11, Medan_Air_Base, 0, 0, 0
A011, 11, Phase_I_328_Staging_Location, 0, 0, 0
A011, 11, Phase_II_D3_PAA5, 0, 0, 0
A011, 11, Phase_II_D1_PAA_3, 0, 0, 0
A011, 11, Phase_I_128_Staging_Location, 0, 0, 0
A011, 11, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 11, Port_of_Belawan, 0, 0, 0
A011, 11, Banda_Aceh_Port, 31, 0, 0
A011, 12, Phase_I__II_Recon_Deep_Staging_Location, 0, 0, 0
A011, 12, Phase_II_Farp_2A, 0, 0, 0
A011, 12, Phase_I_313_Staging_Location, 0, 0, 0
A011, 12, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 12, Phase_II_D2_PAA4, 0, 0, 0
A011, 12, Phase_II_PAA2, 0, 0, 0
A011, 12, Sultan_Iskandar_Muda_Airport, 14.6316, 3, 0
A011, 12, Medan_Air_Base, 0, 0, 0
A011, 12, Phase_I_328_Staging_Location, 0, 0, 0
A011, 12, Phase_II_D3_PAA5, 0, 0, 0
A011, 12, Phase_II_D1_PAA_3, 0, 0, 0
