l, lprime, t, j, h, Mvalue, per-item weight, per-item importance
Nome_Airport, Teller_Dest, 21, D0003, LowBoyTractor, 0.0757798, 44480, 10000
Nome_Port, Teller_Dest, 21, B0063, LowBoyTractor, 0.685278, 46420, 0
Juneau_Airport, Nome_Airport, 22, D0003, C-17, 0.04145, 44480, 10000
Juneau_Airport, Nome_Airport, 22, B0063, C-17, 0.0328951, 46420, 0
Anchorage_Port, Nome_Port, 22, B0063, OSV, 0.00428057, 46420, 0
Anchorage_Port, Nome_Port, 22, D0054, OSV, 0.00261901, 71220, 10000
Mosquito_Lake_Sup, Juneau_Airport, 22, D0003, LowBoyTractor, 0.0757798, 44480, 10000
Mosquito_Lake_Sup, Elmendorf_AFB, 22, D0003, LowBoyTractor, 0.0440341, 44480, 10000
Tanani_Sup, Juneau_Airport, 22, B0063, LowBoyTractor, 0.0328951, 46420, 0
Tanani_Sup, Juneau_Airport, 22, NIIN_1491094, LowBoyTractor, 3.22581, 22, 0
Tanani_Sup, Juneau_Airport, 22, NIIN_14671753, LowBoyTractor, 118.182, 15, 0
Tanani_Sup, Mud_Bay_Sup, 22, B0063, LowBoyTractor, 0.00682258, 46420, 0
Tanani_Sup, Port_Chilkoot, 22, D0005, LowBoyTractor, 0.040264, 44480, 10000
Tanani_Sup, Elmendorf_AFB, 22, B0063, LowBoyTractor, 0.0726128, 46420, 0
Tanani_Sup, Anchorage_Port, 22, D0005, LowBoyTractor, 0.00807752, 44480, 10000
Mud_Bay_Sup, Port_Chilkoot, 22, D0054, LowBoyTractor, 0.0370718, 71220, 10000
Mud_Bay_Sup, Anchorage_Port, 22, D0003, LowBoyTractor, 0.200062, 44480, 10000
Mud_Bay_Sup, Anchorage_Port, 22, D0054, LowBoyTractor, 0.191637, 71220, 10000
Elmendorf_AFB, Anchorage_Port, 22, D0054, LowBoyTractor, 0.00109716, 71220, 10000
Nome_Airport, Teller_Dest, 22, B0063, LowBoyTractor, 0.0726128, 46420, 0
Nome_Port, Teller_Dest, 22, D0005, LowBoyTractor, 0.00658798, 44480, 10000
Juneau_Airport, Nome_Airport, 23, D0003, C-17, 0.0757798, 44480, 10000
Port_Chilkoot, Nome_Port, 23, D0005, OSV, 0.040264, 44480, 10000
Port_Chilkoot, Nome_Port, 23, D0054, OSV, 0.0370718, 71220, 10000
Anchorage_Port, Nome_Port, 23, B0063, OSV, 0.00179322, 46420, 0
Anchorage_Port, Nome_Port, 23, D0054, OSV, 0.00109716, 71220, 10000
Mosquito_Lake_Sup, Port_Chilkoot, 23, D0005, LowBoyTractor, 0.39391, 44480, 10000
Tanani_Sup, Juneau_Airport, 23, B0063, LowBoyTractor, 0.0328951, 46420, 0
Tanani_Sup, Juneau_Airport, 23, NIIN_1491094, LowBoyTractor, 3.22581, 22, 0
Tanani_Sup, Juneau_Airport, 23, NIIN_14671753, LowBoyTractor, 118.182, 15, 0
Tanani_Sup, Elmendorf_AFB, 23, B0063, LowBoyTractor, 0.030419, 46420, 0
Mud_Bay_Sup, Juneau_Airport, 23, B0063, LowBoyTractor, 0.00682258, 46420, 0
Mud_Bay_Sup, Juneau_Airport, 23, D0054, LowBoyTractor, 0.0041743, 71220, 10000
Mud_Bay_Sup, Port_Chilkoot, 23, D0005, LowBoyTractor, 0.0597226, 44480, 10000
Mud_Bay_Sup, Port_Chilkoot, 23, D0054, LowBoyTractor, 0.107546, 71220, 10000
Nome_Airport, Teller_Dest, 23, D0003, LowBoyTractor, 0.04145, 44480, 10000
Nome_Airport, Teller_Dest, 23, B0063, LowBoyTractor, 0.0328951, 46420, 0
Nome_Port, Teller_Dest, 23, B0063, LowBoyTractor, 0.00313205, 46420, 0
Juneau_Airport, Nome_Airport, 24, B0063, C-17, 0.0726128, 46420, 0
Port_Chilkoot, Nome_Port, 24, D0005, OSV, 0.453633, 44480, 10000
Port_Chilkoot, Nome_Port, 24, D0054, OSV, 0.107546, 71220, 10000
Mosquito_Lake_Sup, Port_Chilkoot, 24, D0005, LowBoyTractor, 0.574384, 44480, 10000
Tanani_Sup, Juneau_Airport, 24, NIIN_1491094, LowBoyTractor, 6.45161, 22, 0
Tanani_Sup, Juneau_Airport, 24, NIIN_14671753, LowBoyTractor, 700.098, 15, 0
Tanani_Sup, Elmendorf_AFB, 24, B0063, LowBoyTractor, 0.26138, 46420, 0
Mud_Bay_Sup, Elmendorf_AFB, 24, D0054, LowBoyTractor, 0.155748, 71220, 10000
Nome_Airport, Teller_Dest, 24, D0003, LowBoyTractor, 0.0757798, 44480, 10000
Nome_Port, Teller_Dest, 24, B0063, LowBoyTractor, 0.306502, 46420, 0
Nome_Port, Teller_Dest, 24, D0054, LowBoyTractor, 0.0359426, 71220, 10000
Elmendorf_AFB, Nome_Airport, 25, B0063, C-17, 0.0726128, 46420, 0
Port_Chilkoot, Nome_Port, 25, D0005, OSV, 0.574384, 44480, 10000
Anchorage_Port, Nome_Port, 25, D0003, OSV, 0.200062, 44480, 10000
Anchorage_Port, Nome_Port, 25, D0005, OSV, 0.00807752, 44480, 10000
Anchorage_Port, Nome_Port, 25, D0054, OSV, 0.191637, 71220, 10000
Mosquito_Lake_Sup, Elmendorf_AFB, 25, D0005, LowBoyTractor, 0.179079, 44480, 10000
Mud_Bay_Sup, Elmendorf_AFB, 25, D0054, LowBoyTractor, 0.164881, 71220, 10000
Nome_Airport, Teller_Dest, 25, B0063, LowBoyTractor, 0.0726128, 46420, 0
Nome_Port, Teller_Dest, 25, B0063, LowBoyTractor, 0.428565, 46420, 0
Nome_Port, Teller_Dest, 25, D0054, LowBoyTractor, 0.262212, 71220, 10000
Elmendorf_AFB, Nome_Airport, 26, D0003, C-17, 0.0440341, 44480, 10000
Elmendorf_AFB, Nome_Airport, 26, B0063, C-17, 0.030419, 46420, 0
Mosquito_Lake_Sup, Elmendorf_AFB, 26, D0005, LowBoyTractor, 0.040264, 44480, 10000
Tanani_Sup, Juneau_Airport, 26, NIIN_1491094, LowBoyTractor, 12.9032, 22, 0
Tanani_Sup, Juneau_Airport, 26, NIIN_14671753, LowBoyTractor, 8.99316, 15, 0
Mud_Bay_Sup, Elmendorf_AFB, 26, D0054, LowBoyTractor, 0.0370718, 71220, 10000
Nome_Airport, Teller_Dest, 26, B0063, LowBoyTractor, 0.0726128, 46420, 0
Nome_Port, Teller_Dest, 26, B0063, LowBoyTractor, 0.00428057, 46420, 0
Nome_Port, Teller_Dest, 26, D0054, LowBoyTractor, 0.00261901, 71220, 10000
Juneau_Airport, Nome_Airport, 27, D0054, C-17, 0.0041743, 71220, 10000
Elmendorf_AFB, Nome_Airport, 27, B0063, C-17, 0.26138, 46420, 0
Elmendorf_AFB, Nome_Airport, 27, D0054, C-17, 0.155748, 71220, 10000
Nome_Airport, Teller_Dest, 27, D0003, LowBoyTractor, 0.0440341, 44480, 10000
Nome_Airport, Teller_Dest, 27, B0063, LowBoyTractor, 0.030419, 46420, 0
Nome_Port, Teller_Dest, 27, B0063, LowBoyTractor, 0.00179322, 46420, 0
Nome_Port, Teller_Dest, 27, D0054, LowBoyTractor, 0.00109716, 71220, 10000
Elmendorf_AFB, Nome_Airport, 28, D0005, C-17, 0.179079, 44480, 10000
Elmendorf_AFB, Nome_Airport, 28, D0054, C-17, 0.164881, 71220, 10000
Nome_Airport, Teller_Dest, 28, B0063, LowBoyTractor, 0.26138, 46420, 0
Nome_Airport, Teller_Dest, 28, D0054, LowBoyTractor, 0.159922, 71220, 10000
Elmendorf_AFB, Nome_Airport, 29, D0005, C-17, 0.040264, 44480, 10000
Elmendorf_AFB, Nome_Airport, 29, D0054, C-17, 0.0370718, 71220, 10000
Nome_Airport, Teller_Dest, 29, D0005, LowBoyTractor, 0.179079, 44480, 10000
Nome_Airport, Teller_Dest, 29, D0054, LowBoyTractor, 0.164881, 71220, 10000
Nome_Port, Teller_Dest, 29, D0003, LowBoyTractor, 0.200062, 44480, 10000
Nome_Port, Teller_Dest, 29, D0005, LowBoyTractor, 0.00807752, 44480, 10000
Nome_Port, Teller_Dest, 29, D0054, LowBoyTractor, 0.191637, 71220, 10000
Tanani_Sup, Juneau_Airport, 30, NIIN_1491094, LowBoyTractor, 6.45161, 22, 0
Tanani_Sup, Juneau_Airport, 30, NIIN_14671753, LowBoyTractor, 236.364, 15, 0
Nome_Airport, Teller_Dest, 30, D0005, LowBoyTractor, 0.040264, 44480, 10000
Nome_Airport, Teller_Dest, 30, D0054, LowBoyTractor, 0.0370718, 71220, 10000
Nome_Port, Teller_Dest, 31, D0005, LowBoyTractor, 0.040264, 44480, 10000
Nome_Port, Teller_Dest, 31, D0054, LowBoyTractor, 0.0370718, 71220, 10000
Tanani_Sup, Juneau_Airport, 32, NIIN_14671753, LowBoyTractor, 236.364, 15, 0
Nome_Port, Teller_Dest, 32, D0005, LowBoyTractor, 0.299244, 44480, 10000
Nome_Port, Teller_Dest, 32, D0054, LowBoyTractor, 0.107546, 71220, 10000
Nome_Port, Teller_Dest, 33, D0005, LowBoyTractor, 0.728772, 44480, 10000
