j,t,l, Inv, Inv_LB, shortage
E1123, 16, Anchorage_Port, 0, 0, 0
E1123, 16, Seward_MPF_Port, 0, 0, 0
E1123, 16, Fairbanks_Airport, 8, 8, 0
E1123, 16, Nome_Airport, 0, 0, 0
E1123, 16, Nome_Port, 0, 0, 0
E1123, 16, Teller_Dest, 0, 0, 0
E1123, 16, Camp_Pendleton_Airport, 0, 0, 0
E1123, 16, Point_Loma, 0, 0, 0
E1123, 17, Juneau_Airport, 0, 0, 0
E1123, 17, Mosquito_Lake_Sup, 0, 0, 0
E1123, 17, Tanani_Sup, 0, 0, 0
E1123, 17, Mud_Bay_Sup, 0, 0, 0
E1123, 17, Port_Chilkoot, 0, 0, 0
E1123, 17, Elmendorf_AFB, 0, 0, 0
E1123, 17, Anchorage_Port, 0, 0, 0
E1123, 17, Seward_MPF_Port, 0, 0, 0
E1123, 17, Fairbanks_Airport, 8, 8, 0
E1123, 17, Nome_Airport, 0, 0, 0
E1123, 17, Nome_Port, 0, 0, 0
E1123, 17, Teller_Dest, 0, 0, 0
E1123, 17, Camp_Pendleton_Airport, 0, 0, 0
E1123, 17, Point_Loma, 0, 0, 0
E1123, 18, Juneau_Airport, 0, 0, 0
E1123, 18, Mosquito_Lake_Sup, 0, 0, 0
E1123, 18, Tanani_Sup, 0, 0, 0
E1123, 18, Mud_Bay_Sup, 0, 0, 0
E1123, 18, Port_Chilkoot, 0, 0, 0
E1123, 18, Elmendorf_AFB, 0, 0, 0
E1123, 18, Anchorage_Port, 0, 0, 0
E1123, 18, Seward_MPF_Port, 0, 0, 0
E1123, 18, Fairbanks_Airport, 8, 8, 0
E1123, 18, Nome_Airport, 0, 0, 0
E1123, 18, Nome_Port, 0, 0, 0
E1123, 18, Teller_Dest, 0, 0, 0
E1123, 18, Camp_Pendleton_Airport, 0, 0, 0
E1123, 18, Point_Loma, 0, 0, 0
E1123, 19, Juneau_Airport, 0, 0, 0
E1123, 19, Mosquito_Lake_Sup, 0, 0, 0
E1123, 19, Tanani_Sup, 0, 0, 0
E1123, 19, Mud_Bay_Sup, 0, 0, 0
E1123, 19, Port_Chilkoot, 0, 0, 0
E1123, 19, Elmendorf_AFB, 0, 0, 0
E1123, 19, Anchorage_Port, 0, 0, 0
E1123, 19, Seward_MPF_Port, 0, 0, 0
E1123, 19, Fairbanks_Airport, 8, 8, 0
E1123, 19, Nome_Airport, 0, 0, 0
E1123, 19, Nome_Port, 0, 0, 0
E1123, 19, Teller_Dest, 0, 0, 0
E1123, 19, Camp_Pendleton_Airport, 0, 0, 0
E1123, 19, Point_Loma, 0, 0, 0
E1123, 20, Juneau_Airport, 0, 0, 0
E1123, 20, Mosquito_Lake_Sup, 0, 0, 0
E1123, 20, Tanani_Sup, 0, 0, 0
