h,l,lprime, t, Zvalue
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 1, 0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 2, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 3, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 4, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 5, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 6, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 7, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 8, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 9, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 10, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 11, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 12, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 13, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 14, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 15, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 16, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 17, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 18, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 19, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 20, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 21, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 22, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 23, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 24, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 25, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 26, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 27, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 28, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 29, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 30, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 31, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 32, -0
C-17, Elmendorf_AFB, Camp_Pendleton_Airport, 33, 0
C-17, Nome_Airport, Juneau_Airport, 0, 0
C-17, Nome_Airport, Juneau_Airport, 1, 0
C-17, Nome_Airport, Juneau_Airport, 2, 0
C-17, Nome_Airport, Juneau_Airport, 3, 0
C-17, Nome_Airport, Juneau_Airport, 4, -0
C-17, Nome_Airport, Juneau_Airport, 5, 1
C-17, Nome_Airport, Juneau_Airport, 6, -0
C-17, Nome_Airport, Juneau_Airport, 7, -0
C-17, Nome_Airport, Juneau_Airport, 8, -0
C-17, Nome_Airport, Juneau_Airport, 9, -0
C-17, Nome_Airport, Juneau_Airport, 10, 1
C-17, Nome_Airport, Juneau_Airport, 11, 0
C-17, Nome_Airport, Juneau_Airport, 12, -0
C-17, Nome_Airport, Juneau_Airport, 13, -0
C-17, Nome_Airport, Juneau_Airport, 14, 1
C-17, Nome_Airport, Juneau_Airport, 15, -0
C-17, Nome_Airport, Juneau_Airport, 16, 0
C-17, Nome_Airport, Juneau_Airport, 17, 1
C-17, Nome_Airport, Juneau_Airport, 18, 0
C-17, Nome_Airport, Juneau_Airport, 19, -0
C-17, Nome_Airport, Juneau_Airport, 20, 2
